Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1599752298334281728,?? Daily workouts resume! https://t.co/fHwekLcGok,FC Barcelona,FCBarcelona,2022-12-05T13:07:24.000Z,Mon Dec 05 13:07:24 +0000 2022,6841,260,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjNzeVkWAAEVBFK.jpg,,,
1599727883727114240,"?? Incredible unseen footage in our breathtaking documentary, '?? ?????? ??????'

Coming soon to Amazon @PrimeVideo",FC Barcelona,FCBarcelona,2022-12-05T11:30:23.000Z,Mon Dec 05 11:30:23 +0000 2022,3089,185,en,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,1,,,,,
1599720522715172865,"?? We present to you...  
   
?? ?? ?????? ?????? ??

Coming to @PrimeVideo soon ?? https://t.co/0wI0snmpgl",FC Barcelona,FCBarcelona,2022-12-05T11:01:08.000Z,Mon Dec 05 11:01:08 +0000 2022,7121,968,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,1,video,https://video.twimg.com/amplify_video/1599720451328073728/vid/640x360/3380TNu5UdjPkH6e.mp4?tag=16,,,
1599690046084288512,Today's Menu: ?????????? https://t.co/r2RqNzcAbj,FC Barcelona,FCBarcelona,2022-12-05T09:00:02.000Z,Mon Dec 05 09:00:02 +0000 2022,15211,546,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjLGKhrVIAAJ6-_.jpg,,,
1599675191684222976,"G?AL OF THE DAY
?? @EAbidalOfficial ??
Happy Monday, culers! https://t.co/A80ti0OhtH",FC Barcelona,FCBarcelona,2022-12-05T08:01:00.000Z,Mon Dec 05 08:01:00 +0000 2022,3818,188,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,1,video,https://video.twimg.com/amplify_video/1599675149384617984/vid/540x540/dhwdAsIFQEB8-_Zd.mp4?tag=16,,,
1599509226581278721,Discover the unseen footage of the men's and women's players guessing their #SpotifyWrapped ???? https://t.co/3VeAE1wwxB,FC Barcelona,FCBarcelona,2022-12-04T21:01:31.000Z,Sun Dec 04 21:01:31 +0000 2022,2070,120,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,1,0,video,https://video.twimg.com/amplify_video/1599509061489377282/vid/640x360/46302ueJWSQ1eU3y.mp4?tag=16,,,
1599454924655702017,Dembélé is feelin' good https://t.co/5q30g5WCvl,FC Barcelona,FCBarcelona,2022-12-04T17:25:45.000Z,Sun Dec 04 17:25:45 +0000 2022,25070,768,ht,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjJnsXEXkAErnqi.jpg,,,
1599452363206537216,"???? Lewandowski scored from the penalty spot, but couldn't get the win against France
#FIFAWorldCup https://t.co/EbZPMk2kcZ",FC Barcelona,FCBarcelona,2022-12-04T17:15:34.000Z,Sun Dec 04 17:15:34 +0000 2022,5506,204,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjJk1YNXkAIl2gQ.jpg,,,
1599449867402690561,"???? France beats Poland (3-1) and makes it to the #FIFAWorldCup quarterfinals. Congratulations, @dembouz and @jkeey4! https://t.co/VStTARrB9D",FC Barcelona,FCBarcelona,2022-12-04T17:05:39.000Z,Sun Dec 04 17:05:39 +0000 2022,2408,138,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,2,photo,https://pbs.twimg.com/media/FjJi4UGX0AMMo7M.jpg,,,
1599448304365887489,? Qualified https://t.co/PCaFgoZz5E,FC Barcelona,FCBarcelona,2022-12-04T16:59:26.000Z,Sun Dec 04 16:59:26 +0000 2022,36519,1053,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjJhtvoWAAUmhOh.jpg,,,
1599415831573590016,"Coming up: France vs Poland
#FIFAWorldCup https://t.co/AkXne8UlMs",FC Barcelona,FCBarcelona,2022-12-04T14:50:24.000Z,Sun Dec 04 14:50:24 +0000 2022,7142,274,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjJEKmjX0AMgtYw.jpg,,,
1599406055297273856,"???????? ???? ????????
???? or ???? https://t.co/lWPrbVJTTP",FC Barcelona,FCBarcelona,2022-12-04T14:11:33.000Z,Sun Dec 04 14:11:33 +0000 2022,3007,122,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjI7APzXgAMqKFS.jpg,,,
1599402839406628864,"???? Kounde and Dembélé are in the XI for France! 
Good luck, guys! #FIFAWorldCup https://t.co/0wiIGUzzpi",FC Barcelona,FCBarcelona,2022-12-04T13:58:47.000Z,Sun Dec 04 13:58:47 +0000 2022,1967,114,ht,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/equipedefrance/status/1599400783359115270 ,1,0,,,,,
1599402297380859905,"???? Lewandowski starts for Poland against France. Good luck, Robert! #FIFAWorldCup https://t.co/Nb6W3J2rKK",FC Barcelona,FCBarcelona,2022-12-04T13:56:37.000Z,Sun Dec 04 13:56:37 +0000 2022,3417,150,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/LaczyNasPilka/status/1599395598129430529 ,1,0,,,,,
1599395829634179072,"Who will win today? ??
#FRAPOL | #FIFAWorldCup https://t.co/Je073FNvnm",FC Barcelona,FCBarcelona,2022-12-04T13:30:55.000Z,Sun Dec 04 13:30:55 +0000 2022,2714,142,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,2,0,video,https://video.twimg.com/amplify_video/1599395807500943360/pl/p-aC1BkH01B9H0nS.m3u8?tag=16&container=fmp4,,,
1599365399073677313,?? ??? ????????¸??'?? ???????????? ???????????????? ????,FC Barcelona,FCBarcelona,2022-12-04T11:30:00.000Z,Sun Dec 04 11:30:00 +0000 2022,1824,85,ca,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,0,,,,,
1599344995353628674,"1??.0??0??0?? games
?? 789 goals 
?? 338 assists https://t.co/GpiNukt4MH",FC Barcelona,FCBarcelona,2022-12-04T10:08:55.000Z,Sun Dec 04 10:08:55 +0000 2022,111746,8006,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjIDbG3XwAI3ccZ.jpg,,,
1599331639686938625,"??????????

@dembouz &amp; @jkeey4 ?? @lewy_official 

#FIFAWorldCup https://t.co/MetWVjbs8G",FC Barcelona,FCBarcelona,2022-12-04T09:15:51.000Z,Sun Dec 04 09:15:51 +0000 2022,9561,446,und,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,3,photo,https://pbs.twimg.com/media/FjH3nrmWAAAf_Qk.jpg,,,
1599312805907337217,"G?AL OF THE DAY
?? Enjoy your day, Guillermo Amor ??
#MadeInLaMasia https://t.co/OjUlVVtQHV",FC Barcelona,FCBarcelona,2022-12-04T08:01:01.000Z,Sun Dec 04 08:01:01 +0000 2022,2335,114,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,1,0,video,https://video.twimg.com/amplify_video/1599312764035547136/vid/320x320/r7qlpQmNDpyAN0n9.mp4?tag=16,,,
1599169352170774530,"???That winning feeling &gt;&gt;

?? @OnsOranje &amp; @Memphis https://t.co/BwMAS8E1g9",FC Barcelona,FCBarcelona,2022-12-03T22:30:59.000Z,Sat Dec 03 22:30:59 +0000 2022,4958,192,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,2,video,https://video.twimg.com/amplify_video/1599169316888449025/pl/u4pev25E3EekGuad.m3u8?tag=16&container=fmp4,,,
1599154498827608065,"A stunning goal from Unai in the U19 derby ??

?? #MadeInLaMasia | @FCBmasia https://t.co/J1mXJgPvdS",FC Barcelona,FCBarcelona,2022-12-03T21:31:58.000Z,Sat Dec 03 21:31:58 +0000 2022,2481,99,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,1,1,video,https://video.twimg.com/amplify_video/1599154466367934467/vid/320x568/vDgDZD1s9Hq494X2.mp4?tag=16,,,
1599134405280550914,"?? ???????? ???????????????? ?????????? ??

October 16, 2004 - December 3, 2022 https://t.co/cKVgU9zktd",FC Barcelona,FCBarcelona,2022-12-03T20:12:07.000Z,Sat Dec 03 20:12:07 +0000 2022,91044,10801,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjFDet-UUAE0_lH.jpg,https://pbs.twimg.com/media/FjFDkqfUcAAIFyM.jpg,,
1599089276452745216,"???? @Memphis and @DeJongFrenkie21
 qualify for the next round. Congrats!

??@OnsOranje progress to the quarter-finals of the #FIFAWorldCup https://t.co/r3Je5a4RlB",FC Barcelona,FCBarcelona,2022-12-03T17:12:47.000Z,Sat Dec 03 17:12:47 +0000 2022,2457,128,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,3,photo,https://pbs.twimg.com/media/FjEancoUcAIkyqK.jpg,,,
1599069544185663488,???? Memphis scores first! ?? https://t.co/CH5rcmESnc,FC Barcelona,FCBarcelona,2022-12-03T15:54:23.000Z,Sat Dec 03 15:54:23 +0000 2022,7694,243,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjEJFgaXgAIUqIV.jpg,,,
1599058457054760961,??????,FC Barcelona,FCBarcelona,2022-12-03T15:10:19.000Z,Sat Dec 03 15:10:19 +0000 2022,24872,1100,art,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,,,,,
1599054124103761920,"?? Today is #InternationalDayofPersonsWithDisability 
 
All FC Barcelona teams with intellectual or physical disabilities met at the Juan Carlos Navarro pavilion to celebrate and support the wheelchair basketball game. @FCBGenuine @FCBCadiraRodes #Hockey+ ??????? https://t.co/Smq8ayvxuR",FC Barcelona,FCBarcelona,2022-12-03T14:53:06.000Z,Sat Dec 03 14:53:06 +0000 2022,1456,87,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,2,2,photo,https://pbs.twimg.com/media/FjD7FRgWIAMpB8q.jpg,,,
1599047633548431360,"???? @Memphis &amp; @DeJongFrenkie21 

?? Good luck, boys!  | #FIFAWorldCup https://t.co/dPTSTYcMaX",FC Barcelona,FCBarcelona,2022-12-03T14:27:19.000Z,Sat Dec 03 14:27:19 +0000 2022,2076,111,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/OnsOranje/status/1599042609527169024 ,1,2,,,,,
1599025660122390528,"???? ???? ????

?????? ???? ???????????? (?????????? ?????? ??????????????)
#FIFAWorldCup https://t.co/kNjrtFckBw",FC Barcelona,FCBarcelona,2022-12-03T13:00:00.000Z,Sat Dec 03 13:00:00 +0000 2022,6688,245,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/Fi-W8EyXoAMtSxd.jpg,,,
1599001736903069696,"? ???????? ???? ?????? ???????? ?

2?0?2?2? is coming to an end and it's time to pick the best Barça goal of the 12 months

@play_eFootball",FC Barcelona,FCBarcelona,2022-12-03T11:24:56.000Z,Sat Dec 03 11:24:56 +0000 2022,2389,113,en,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,1,,,,,
1598970635258015744,?????? ???????? ?????? ?????? #???????????????????????? ?? https://t.co/sTJKFZZYz4,FC Barcelona,FCBarcelona,2022-12-03T09:21:21.000Z,Sat Dec 03 09:21:21 +0000 2022,21792,865,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,0,photo,https://pbs.twimg.com/media/FjCvE_2XwAAKZGx.png,,,
1598950422730915842,"G?AL OF THE DAY
?? Happy birthday, Villa ?? https://t.co/XPn3YJXfBQ",FC Barcelona,FCBarcelona,2022-12-03T08:01:02.000Z,Sat Dec 03 08:01:02 +0000 2022,10884,672,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,0,0,video,https://video.twimg.com/amplify_video/1598950375503151105/vid/320x320/qjk2Z1lNxMVfVbtU.mp4?tag=16,,,
1598791887124860929,Mr. Round Of Sixteen ?? https://t.co/jKO5Lb0hdu,FC Barcelona,FCBarcelona,2022-12-02T21:31:04.000Z,Fri Dec 02 21:31:04 +0000 2022,21559,505,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FjAMvbnUoAARU-O.jpg,,,
1598784134297845761,"#FIFAWorldCup

@CBF_Futebol advance to the round of sixteen while @Uruguay are eliminated from the competition. https://t.co/TJsIFGm7ez",FC Barcelona,FCBarcelona,2022-12-02T21:00:16.000Z,Fri Dec 02 21:00:16 +0000 2022,1662,84,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,2,photo,https://pbs.twimg.com/media/FjAEfLKUUAEW_d7.jpg,,,
1598731561255550976,Don't miss! ?? Win prizes daily and go behind the scenes of Barça's victory over Bayern Munich at Spotify Camp Nou! ???,FC Barcelona,FCBarcelona,2022-12-02T17:31:21.000Z,Fri Dec 02 17:31:21 +0000 2022,1242,71,en,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,0,,,,,
1598663379878543361,"How many of our men's and women's players' favorite #SpotifyWrapped songs of 2022 can you find? ??

Any hint? @spotify ?? https://t.co/dlKFcBNZwN",FC Barcelona,FCBarcelona,2022-12-02T13:00:26.000Z,Fri Dec 02 13:00:26 +0000 2022,1505,78,en,<a href="https://www.hootsuite.com" rel="nofollow">Hootsuite Inc.</a>,Tweet,,1,1,photo,https://pbs.twimg.com/media/Fi-X32-XgAIb_cz.jpg,,,
1598649445108908035,"RT @FundacioFCB : ??? @JoanLaportaFCB, President of @FCBarcelona visits the @FundacioFCB  projects in Colombia.??

Don't miss it!??https://t.co/aW3RdGflOi

#WithArauca https://t.co/G7nYTLy5L2",FC Barcelona,FCBarcelona,2022-12-02T12:05:03.000Z,Fri Dec 02 12:05:03 +0000 2022,0,0,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Retweet,https://foundation.fcbarcelona.com/news/notiweb-visita-laporta-colombia-eng ,1,3,photo,https://pbs.twimg.com/media/Fi95zMrXEAEXYdF.jpg,,,
1598633307171872768,"No one:

@Pedri reacting to his #SpotifyWrapped: ?????? https://t.co/FMH4McVYH8",FC Barcelona,FCBarcelona,2022-12-02T11:00:56.000Z,Fri Dec 02 11:00:56 +0000 2022,3378,175,en,<a href="http://grabyo.com" rel="nofollow">Grabyo</a>,Tweet,,1,1,video,https://video.twimg.com/amplify_video/1598633281687359488/vid/320x570/O5HWkFXzhQuyjy56.mp4?tag=16,,,
1598602950754058241,"????????¸?? ?????????????? ??????????

???? @RonaldAraujo_4 
???? Raphinha

???? #FIFAWorldCup   
?????? ?????????? ?????? https://t.co/vzaEDiSC1A",FC Barcelona,FCBarcelona,2022-12-02T09:00:18.000Z,Fri Dec 02 09:00:18 +0000 2022,2806,130,pt,<a href="https://www.hootsuite.com" rel="nofollow">Hootsuite Inc.</a>,Tweet,,1,1,photo,https://pbs.twimg.com/media/Fi9g6YyXoAIm_0a.jpg,,,
1598432749802901504,"Congrats on qualifying for the next round!

?? @5sergiob, @JordiAlba, @ericgm3, Balde, @Pedri, Gavi, @AnsuFati, and @FerranTorres20! https://t.co/3VlaUIy3Bv",FC Barcelona,FCBarcelona,2022-12-01T21:43:59.000Z,Thu Dec 01 21:43:59 +0000 2022,15711,1202,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,6,photo,https://pbs.twimg.com/media/Fi7FNMvUYAAKgyA.jpg,,,
1598422501758971904,"#FIFAWorldCup

@SEFutbol advance to the round of sixteen while @DFB_team are eliminated from the competition. https://t.co/TQUUa6M9Vx",FC Barcelona,FCBarcelona,2022-12-01T21:03:16.000Z,Thu Dec 01 21:03:16 +0000 2022,2610,184,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,1,2,photo,https://pbs.twimg.com/media/Fi68tF9VEAAoUi5.jpg,,,
1598400021862682624,"?? ?? ???????????????? ???????????? ??

An all-female refereeing team for the first time in history ?? https://t.co/Xwddoa0iqg",FC Barcelona,FCBarcelona,2022-12-01T19:33:56.000Z,Thu Dec 01 19:33:56 +0000 2022,12016,769,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/Fi6oShWVUAA6I7V.jpg,,,
1598388743450550272,"Bona nit, Madrid?? https://t.co/mOQ9JlUwTa",FC Barcelona,FCBarcelona,2022-12-01T18:49:07.000Z,Thu Dec 01 18:49:07 +0000 2022,15313,625,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/Fi6dfPcVUAAg2zw.jpg,,,
1598373976115273728,"?? Welcome back, MIROTIC! ?? https://t.co/U1f4aqwTSL",FC Barcelona,FCBarcelona,2022-12-01T17:50:26.000Z,Thu Dec 01 17:50:26 +0000 2022,1438,73,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/FCBbasket/status/1598371300132765696 ,0,0,,,,,
1598371918511427584,"Balde, Busquets, Gavi, and Pedri are in the XI for Spain! 
Good luck, guys! ?????? #FIFAWorldCupQatar2022 https://t.co/HPh2mdaj85",FC Barcelona,FCBarcelona,2022-12-01T17:42:16.000Z,Thu Dec 01 17:42:16 +0000 2022,1723,117,en,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Tweet,https://twitter.com/SEFutbol/status/1598368809517084672 ,1,0,,,,,
1598331487509684224,RT @FCBfemeni : ???? ?????????????????? ????????/???? https://t.co/o8bAA7UYze,FC Barcelona,FCBarcelona,2022-12-01T15:01:36.000Z,Thu Dec 01 15:01:36 +0000 2022,0,0,pt,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,Retweet,,0,0,photo,https://pbs.twimg.com/media/Fi5K5o0X0AI1gvc.jpg,,,
1598302265651200001,?? FC Barcelona opens first Barça Store in Madrid!,FC Barcelona,FCBarcelona,2022-12-01T13:05:29.000Z,Thu Dec 01 13:05:29 +0000 2022,5103,244,ro,<a href="https://twitter.com" rel="nofollow">Twitter for Advertisers</a>,Tweet,,0,0,,,,,
